job_id,dataset,model,task,total_rows,train_rows,n_features,profile,cpus,mem_gb,time
177,blogfeedback,tabpfn_v3.5,regression,60021,38412,276,small,4,32,01:00:00
178,blogfeedback,tabpfn_v3.5_fast,regression,60021,38412,276,small,4,32,01:00:00
179,blogfeedback,tabdpt_v1.3,regression,60021,38412,276,small,4,32,01:00:00
180,volkert,xgboost,multiclass,58310,37318,180,small,4,32,01:00:00
181,volkert,catboost,multiclass,58310,37318,180,small,4,32,01:00:00
182,volkert,tabicl_v1,multiclass,58310,37318,180,small,4,32,01:00:00
183,volkert,tabicl_v1.1,multiclass,58310,37318,180,small,4,32,01:00:00
184,volkert,tabicl_v2,multiclass,58310,37318,180,small,4,32,01:00:00
185,volkert,tabpfn_v2,multiclass,58310,37318,180,small,4,32,01:00:00
186,volkert,tabpfn_v2.5,multiclass,58310,37318,180,small,4,32,01:00:00
187,volkert,tabpfn_v2.6,multiclass,58310,37318,180,small,4,32,01:00:00
188,volkert,tabpfn_v3,multiclass,58310,37318,180,small,4,32,01:00:00
189,volkert,tabpfn_v3.5,multiclass,58310,37318,180,small,4,32,01:00:00
190,volkert,tabpfn_v3.5_fast,multiclass,58310,37318,180,small,4,32,01:00:00
191,volkert,tabdpt_v1.3,multiclass,58310,37318,180,small,4,32,01:00:00
192,Large-scale_Wave_Energy_Farm_Perth_49,xgboost,regression,36043,23067,99,small,4,32,01:00:00
193,Large-scale_Wave_Energy_Farm_Perth_49,catboost,regression,36043,23067,99,small,4,32,01:00:00
194,Large-scale_Wave_Energy_Farm_Perth_49,tabicl_v1,regression,36043,23067,99,small,4,32,01:00:00
195,Large-scale_Wave_Energy_Farm_Perth_49,tabicl_v1.1,regression,36043,23067,99,small,4,32,01:00:00
196,Large-scale_Wave_Energy_Farm_Perth_49,tabicl_v2,regression,36043,23067,99,small,4,32,01:00:00
197,Large-scale_Wave_Energy_Farm_Perth_49,tabpfn_v2,regression,36043,23067,99,small,4,32,01:00:00
198,Large-scale_Wave_Energy_Farm_Perth_49,tabpfn_v2.5,regression,36043,23067,99,small,4,32,01:00:00
199,Large-scale_Wave_Energy_Farm_Perth_49,tabpfn_v2.6,regression,36043,23067,99,small,4,32,01:00:00
200,Large-scale_Wave_Energy_Farm_Perth_49,tabpfn_v3,regression,36043,23067,99,small,4,32,01:00:00
201,Large-scale_Wave_Energy_Farm_Perth_49,tabpfn_v3.5,regression,36043,23067,99,small,4,32,01:00:00
202,Large-scale_Wave_Energy_Farm_Perth_49,tabpfn_v3.5_fast,regression,36043,23067,99,small,4,32,01:00:00
203,Large-scale_Wave_Energy_Farm_Perth_49,tabdpt_v1.3,regression,36043,23067,99,small,4,32,01:00:00
204,nomao,xgboost,binclass,34465,22057,118,small,4,32,01:00:00
205,nomao,catboost,binclass,34465,22057,118,small,4,32,01:00:00
206,nomao,tabicl_v1,binclass,34465,22057,118,small,4,32,01:00:00
207,nomao,tabicl_v1.1,binclass,34465,22057,118,small,4,32,01:00:00
208,nomao,tabicl_v2,binclass,34465,22057,118,small,4,32,01:00:00
209,nomao,tabpfn_v2,binclass,34465,22057,118,small,4,32,01:00:00
210,nomao,tabpfn_v2.5,binclass,34465,22057,118,small,4,32,01:00:00
211,nomao,tabpfn_v2.6,binclass,34465,22057,118,small,4,32,01:00:00
212,nomao,tabpfn_v3,binclass,34465,22057,118,small,4,32,01:00:00
213,nomao,tabpfn_v3.5,binclass,34465,22057,118,small,4,32,01:00:00
214,nomao,tabpfn_v3.5_fast,binclass,34465,22057,118,small,4,32,01:00:00
215,nomao,tabdpt_v1.3,binclass,34465,22057,118,small,4,32,01:00:00
216,UJIndoorLoc,xgboost,regression,21048,13470,520,small,4,32,01:00:00
217,UJIndoorLoc,catboost,regression,21048,13470,520,small,4,32,01:00:00
218,UJIndoorLoc,tabicl_v1,regression,21048,13470,520,small,4,32,01:00:00
219,UJIndoorLoc,tabicl_v1.1,regression,21048,13470,520,small,4,32,01:00:00
220,UJIndoorLoc,tabicl_v2,regression,21048,13470,520,small,4,32,01:00:00
221,UJIndoorLoc,tabpfn_v2,regression,21048,13470,520,small,4,32,01:00:00
222,UJIndoorLoc,tabpfn_v2.5,regression,21048,13470,520,small,4,32,01:00:00
223,UJIndoorLoc,tabpfn_v2.6,regression,21048,13470,520,small,4,32,01:00:00
224,UJIndoorLoc,tabpfn_v3,regression,21048,13470,520,small,4,32,01:00:00
225,UJIndoorLoc,tabpfn_v3.5,regression,21048,13470,520,small,4,32,01:00:00
226,UJIndoorLoc,tabpfn_v3.5_fast,regression,21048,13470,520,small,4,32,01:00:00
227,UJIndoorLoc,tabdpt_v1.3,regression,21048,13470,520,small,4,32,01:00:00
228,dilbert,xgboost,multiclass,10000,6400,2000,small,4,32,01:00:00
229,dilbert,catboost,multiclass,10000,6400,2000,small,4,32,01:00:00
230,dilbert,tabicl_v1,multiclass,10000,6400,2000,small,4,32,01:00:00
231,dilbert,tabicl_v1.1,multiclass,10000,6400,2000,small,4,32,01:00:00
232,dilbert,tabicl_v2,multiclass,10000,6400,2000,small,4,32,01:00:00
233,dilbert,tabpfn_v2,multiclass,10000,6400,2000,small,4,32,01:00:00
234,dilbert,tabpfn_v2.5,multiclass,10000,6400,2000,small,4,32,01:00:00
235,dilbert,tabpfn_v2.6,multiclass,10000,6400,2000,small,4,32,01:00:00
236,dilbert,tabpfn_v3,multiclass,10000,6400,2000,small,4,32,01:00:00
237,dilbert,tabpfn_v3.5,multiclass,10000,6400,2000,small,4,32,01:00:00
238,dilbert,tabpfn_v3.5_fast,multiclass,10000,6400,2000,small,4,32,01:00:00
239,dilbert,tabdpt_v1.3,multiclass,10000,6400,2000,small,4,32,01:00:00
240,fabert,xgboost,multiclass,8237,5271,800,small,4,32,01:00:00
241,fabert,catboost,multiclass,8237,5271,800,small,4,32,01:00:00
242,fabert,tabicl_v1,multiclass,8237,5271,800,small,4,32,01:00:00
243,fabert,tabicl_v1.1,multiclass,8237,5271,800,small,4,32,01:00:00
244,fabert,tabicl_v2,multiclass,8237,5271,800,small,4,32,01:00:00
245,fabert,tabpfn_v2,multiclass,8237,5271,800,small,4,32,01:00:00
246,fabert,tabpfn_v2.5,multiclass,8237,5271,800,small,4,32,01:00:00
247,fabert,tabpfn_v2.6,multiclass,8237,5271,800,small,4,32,01:00:00
248,fabert,tabpfn_v3,multiclass,8237,5271,800,small,4,32,01:00:00
249,fabert,tabpfn_v3.5,multiclass,8237,5271,800,small,4,32,01:00:00
250,fabert,tabpfn_v3.5_fast,multiclass,8237,5271,800,small,4,32,01:00:00
251,fabert,tabdpt_v1.3,multiclass,8237,5271,800,small,4,32,01:00:00
252,gina_agnostic,xgboost,binclass,3468,2219,970,small,4,32,01:00:00
253,gina_agnostic,catboost,binclass,3468,2219,970,small,4,32,01:00:00
254,gina_agnostic,tabicl_v1,binclass,3468,2219,970,small,4,32,01:00:00
255,gina_agnostic,tabicl_v1.1,binclass,3468,2219,970,small,4,32,01:00:00
256,gina_agnostic,tabicl_v2,binclass,3468,2219,970,small,4,32,01:00:00
257,gina_agnostic,tabpfn_v2,binclass,3468,2219,970,small,4,32,01:00:00
258,gina_agnostic,tabpfn_v2.5,binclass,3468,2219,970,small,4,32,01:00:00
259,gina_agnostic,tabpfn_v2.6,binclass,3468,2219,970,small,4,32,01:00:00
260,gina_agnostic,tabpfn_v3,binclass,3468,2219,970,small,4,32,01:00:00
261,gina_agnostic,tabpfn_v3.5,binclass,3468,2219,970,small,4,32,01:00:00
262,gina_agnostic,tabpfn_v3.5_fast,binclass,3468,2219,970,small,4,32,01:00:00
263,gina_agnostic,tabdpt_v1.3,binclass,3468,2219,970,small,4,32,01:00:00
